ocel_event_id;ocel_object_id;ocel_qualifier
14566_leave_Supplier Loading Area_tr4;loc_Supplier_Loading_Area;location
14567_leave_Supplier Loading Area_cr12;cr12;moved_object
14567_leave_Supplier Loading Area_cr12;loc_Supplier_Loading_Area;location
load_truck_hu23_complete;hu23;HU loaded
load_truck_hu23_complete;cr13;CR laded
load_truck_hu23_complete;tr5;TR laded
collect_hu27_complete;hu27;HU collected
drive_term_cr13_start;cr13;CR moved
drive_term_cr13_start;tr5;TR moved
14568_leave_Supplier Loading Area_tr5;tr5;moved_object
14568_leave_Supplier Loading Area_tr5;loc_Supplier_Loading_Area;location
14569_leave_Supplier Loading Area_cr13;cr13;moved_object
14569_leave_Supplier Loading Area_cr13;loc_Supplier_Loading_Area;location
load_truck_hu27_complete;hu27;HU loaded
load_truck_hu27_complete;cr16;CR laded
load_truck_hu27_complete;tr6;TR laded
collect_hu16_complete;hu16;HU collected
drive_term_cr16_start;cr16;CR moved
drive_term_cr16_start;tr6;TR moved
14570_leave_Supplier Loading Area_tr6;tr6;moved_object
14570_leave_Supplier Loading Area_tr6;loc_Supplier_Loading_Area;location
14571_leave_Supplier Loading Area_cr16;cr16;moved_object
14571_leave_Supplier Loading Area_cr16;loc_Supplier_Loading_Area;location
create_td7;co9;TD created for CO
create_td7;td7;created TD
load_truck_hu16_complete;hu16;HU loaded
load_truck_hu16_complete;cr9;CR laded
load_truck_hu16_complete;tr3;TR laded
drive_term_cr9_start;cr9;CR moved
drive_term_cr9_start;tr3;TR moved
14572_leave_Supplier Loading Area_tr3;tr3;moved_object
14572_leave_Supplier Loading Area_tr3;loc_Supplier_Loading_Area;location
14573_leave_Supplier Loading Area_cr9;cr9;moved_object
14573_leave_Supplier Loading Area_cr9;loc_Supplier_Loading_Area;location
arr_notice_cr16;tr6;TR arrival notice
arr_notice_cr16;cr16;CR arrival notice
14574_enter_Terminal North_tr6;tr6;moved_object
14574_enter_Terminal North_tr6;loc_Terminal_North;location
14575_enter_Terminal North_cr16;cr16;moved_object
14575_enter_Terminal North_cr16;loc_Terminal_North;location
drive_term_cr16_complete;cr16;CR moved
drive_term_cr16_complete;tr6;TR moved
unload_truck_cr16_assign;cr16;CR unload allocated
unload_truck_cr16_assign;tr6;TR unload allocated
unload_truck_cr16_assign;fl1;candidate_object
unload_truck_cr16_assign;fl3;candidate_object
